Course Name,Course Description,Professor Name and Link
CSCI-261,Introduction to Cryptography,Wesam Almobaideen (https://www.ratemyprofessors.com/search/professors/807?q=Wesam%20Almobaideen)
1. CSCI-261-01,Xtreme Theory,Christopher Homan (https://www.ratemyprofessors.com/search/professors/807?q=Christopher%20Homan)
2. CSCI-261-02,Professional Communications,William Childs (https://www.ratemyprofessors.com/search/professors/807?q=William%20Childs)
3. CSCI-261-03,Professional Communications,William Childs (https://www.ratemyprofessors.com/search/professors/807?q=William%20Childs)
CSCI-262,Historical & Current Comp Sci,Jeremy Brown (https://www.ratemyprofessors.com/search/professors/807?q=Jeremy%20Brown)
1. CSCI-262-01,Historical & Current Comp Sci,Susan Quatro (https://www.ratemyprofessors.com/search/professors/807?q=Susan%20Quatro)
2. CSCI-262-02,Comp Sci Undergrad Co-op,Reynold Bailey (https://www.ratemyprofessors.com/search/professors/807?q=Reynold%20Bailey)
3. CSCI-262-03,Intro to Computer Graphics,Jessica Bayliss (https://www.ratemyprofessors.com/search/professors/807?q=Jessica%20Bayliss)
CSCI-264,Intro to Intell Security Sys,Leonid Reznik (https://www.ratemyprofessors.com/search/professors/807?q=Leonid%20Reznik)
1. CSCI-264-01,Funcprogramming&Haskell,Arthur Nunes (https://www.ratemyprofessors.com/search/professors/807?q=Arthur%20Nunes)
CSCI-320,Programming Skills,Jeremy Brown (https://www.ratemyprofessors.com/search/professors/807?q=Jeremy%20Brown)
1. CSCI-320-01,Honors Capstone Research,Zachary Butler (https://www.ratemyprofessors.com/search/professors/807?q=Zachary%20Butler)
2. CSCI-320-02,Ugrad Thesis Proposal & Prep,Reynold Bailey (https://www.ratemyprofessors.com/search/professors/807?q=Reynold%20Bailey)
3. CSCI-320-03,Undergraduate Thesis,Reynold Bailey (https://www.ratemyprofessors.com/search/professors/807?q=Reynold%20Bailey)
